img_path,prob0,prob1
dataset/classification/train_unlabelled/7055.png,1.8479336e-07,0.99999976
dataset/classification/train_unlabelled/3318.png,0.7601559,0.23984411
dataset/classification/train_unlabelled/1429.png,0.9999957,4.3466252e-06
dataset/classification/train_unlabelled/7109.png,0.98084843,0.019151583
dataset/classification/train_unlabelled/4561.png,0.15838026,0.8416198
dataset/classification/train_unlabelled/1258.png,1.0,1.1686098e-08
dataset/classification/train_unlabelled/6859.png,0.99977905,0.00022091997
dataset/classification/train_unlabelled/3059.png,0.9977329,0.0022671483
dataset/classification/train_unlabelled/6568.png,0.99964595,0.00035407345
dataset/classification/train_unlabelled/988.png,0.11473586,0.88526416
dataset/classification/train_unlabelled/183.png,0.988618,0.011382011
dataset/classification/train_unlabelled/761.png,0.001317673,0.9986823
dataset/classification/train_unlabelled/7493.png,0.95452887,0.045471106
dataset/classification/train_unlabelled/8088.png,0.99999726,2.7326369e-06
dataset/classification/train_unlabelled/1298.png,0.5239099,0.47609007
dataset/classification/train_unlabelled/7925.png,0.97781324,0.022186732
dataset/classification/train_unlabelled/1366.png,0.004982958,0.9950171
dataset/classification/train_unlabelled/577.png,0.82732075,0.17267928
dataset/classification/train_unlabelled/1019.png,0.9999113,8.874137e-05
dataset/classification/train_unlabelled/5024.png,0.99999845,1.5109634e-06
dataset/classification/train_unlabelled/4939.png,0.00026869203,0.99973124
dataset/classification/train_unlabelled/1846.png,0.017962568,0.9820374
dataset/classification/train_unlabelled/1773.png,0.9926675,0.007332574
dataset/classification/train_unlabelled/5982.png,0.90641344,0.09358654
dataset/classification/train_unlabelled/1774.png,0.43223512,0.5677649
dataset/classification/train_unlabelled/5893.png,0.03392341,0.96607655
dataset/classification/train_unlabelled/3084.png,0.99999595,4.0245677e-06
dataset/classification/train_unlabelled/3725.png,0.54373306,0.45626697
dataset/classification/train_unlabelled/986.png,0.3544957,0.6455043
dataset/classification/train_unlabelled/3011.png,0.9999794,2.06224e-05
dataset/classification/train_unlabelled/1624.png,1.4010763e-05,0.99998593
dataset/classification/train_unlabelled/2631.png,0.013858402,0.9861416
dataset/classification/train_unlabelled/3525.png,0.9458168,0.05418317
dataset/classification/train_unlabelled/2151.png,0.99923074,0.00076920755
dataset/classification/train_unlabelled/230.png,0.99769235,0.0023076355
dataset/classification/train_unlabelled/4127.png,0.99990106,9.8912205e-05
dataset/classification/train_unlabelled/603.png,0.3711374,0.62886256
dataset/classification/train_unlabelled/2462.png,0.9939482,0.0060517685
dataset/classification/train_unlabelled/6111.png,0.99945086,0.0005490792
dataset/classification/train_unlabelled/1905.png,0.341799,0.65820104
dataset/classification/train_unlabelled/8269.png,0.94281375,0.05718623
dataset/classification/train_unlabelled/2951.png,1.0,2.518586e-09
dataset/classification/train_unlabelled/6693.png,0.9353942,0.064605765
dataset/classification/train_unlabelled/8326.png,0.026889935,0.9731101
dataset/classification/train_unlabelled/6164.png,0.9999951,4.9075093e-06
dataset/classification/train_unlabelled/2669.png,0.3280877,0.6719124
dataset/classification/train_unlabelled/4954.png,0.99999964,3.659142e-07
dataset/classification/train_unlabelled/8212.png,0.99579155,0.004208416
dataset/classification/train_unlabelled/5691.png,0.9999714,2.8624067e-05
dataset/classification/train_unlabelled/2865.png,0.9999918,8.276385e-06
dataset/classification/train_unlabelled/7674.png,0.86515933,0.13484067
dataset/classification/train_unlabelled/1283.png,0.0041795713,0.9958204
dataset/classification/train_unlabelled/3545.png,0.9999759,2.4057095e-05
dataset/classification/train_unlabelled/7466.png,0.99225837,0.007741594
dataset/classification/train_unlabelled/8004.png,0.99007016,0.009929825
dataset/classification/train_unlabelled/7032.png,0.9999851,1.4849735e-05
dataset/classification/train_unlabelled/3247.png,0.9932775,0.0067225117
dataset/classification/train_unlabelled/4770.png,0.827958,0.17204201
dataset/classification/train_unlabelled/7222.png,0.99952066,0.00047933537
dataset/classification/train_unlabelled/6981.png,1.0,9.362699e-09
dataset/classification/train_unlabelled/4713.png,0.7276308,0.27236918
dataset/classification/train_unlabelled/5896.png,0.89218664,0.10781337
dataset/classification/train_unlabelled/6112.png,7.80301e-07,0.99999917
dataset/classification/train_unlabelled/5039.png,0.99961686,0.00038307678
dataset/classification/train_unlabelled/930.png,0.9819432,0.018056823
dataset/classification/train_unlabelled/5882.png,0.99649554,0.0035044793
dataset/classification/train_unlabelled/2427.png,0.99311817,0.0068818345
dataset/classification/train_unlabelled/7454.png,0.88105506,0.11894496
dataset/classification/train_unlabelled/766.png,0.9999999,9.867374e-08
dataset/classification/train_unlabelled/2413.png,0.95279056,0.047209427
dataset/classification/train_unlabelled/4945.png,0.99999845,1.5420333e-06
dataset/classification/train_unlabelled/5295.png,0.9954175,0.0045824717
dataset/classification/train_unlabelled/712.png,0.99672264,0.0032774175
dataset/classification/train_unlabelled/4941.png,0.9999926,7.3889437e-06
dataset/classification/train_unlabelled/86.png,0.3278806,0.6721194
dataset/classification/train_unlabelled/5955.png,0.998418,0.0015820491
dataset/classification/train_unlabelled/8164.png,0.9999951,4.869314e-06
dataset/classification/train_unlabelled/5908.png,0.0033173077,0.9966827
